Credentialing Type,Description,Geography Description,Geography Type,Geography Code,FIPS
Alabama,Credentialing - Alabama,Alabama,State,AL,1
Alabama_PV,Provisional - Alabama,Alabama,State,AL,1
Alabama_RE,Recredentialing - Alabama,Alabama,State,AL,1
Alaska,Credentialing - Alaska,Alaska,State,AK,2
Alaska_RE,Recredentialing - Alaska,Alaska,State,AK,2
Alaska_PV,Provisional - Alaska,Alaska,State,AK,2
Bridgeway Acute Care,Credentialing - Bridgeway Acute Care,Arizona,State,AZ,4
Bridgeway Acute Care_PV,Provisional - Bridgeway Acute Care,Arizona,State,AZ,4
Bridgeway Acute Care_RE,Recredentialing - Bridgeway Acute Care,Arizona,State,AZ,4
Bridgeway LTC,Credentialing - Bridgeway LTC,Arizona,State,AZ,4
Bridgeway LTC_PV,Provisional - Bridgeway LTC,Arizona,State,AZ,4
Bridgeway LTC_RE,Recredentialing - Bridgeway LTC,Arizona,State,AZ,4
Arizona,Credentialing - Arizona,Arizona,State,AZ,4
Arizona_PV,Provisional - Arizona,Arizona,State,AZ,4
Arizona_RE,Recredentialing - Arizona,Arizona,State,AZ,4
Arizona Care,Credentialing - Arizona Care,Arizona,State,AZ,4
Arizona Care_PV,Provisional - Arizona Care,Arizona,State,AZ,4
Arizona Care_RE,Recredentialing - Arizona Care,Arizona,State,AZ,4
Arkansas,Credentialing - Arkansas,Arkansas,State,AR,5
Arkansas_PV,Provisional - Arkansas,Arkansas,State,AR,5
Arkansas_RE,Recredentialing - Arkansas,Arkansas,State,AR,5
California,Credentialing - California,California,State,CA,6
California_PV,Provisional - California,California,State,CA,6
California_RE,Recredentialing - California,California,State,CA,6
California Prison,Credentialing - California Prison,California,State,CA,6
California Prison_PV,Provisional - California Prison,California,State,CA,6
California Prison_RE,Recredentialing - California Prison,California,State,CA,6
CA Abbreviated,Credentialing - CA Abbreviated,California,State,CA,6
CA Abbreviated_RE,Recredentialing - CA Abbreviated,California,State,CA,6
Medi-Cal,Credentialing - Medi-Cal,California,State,CA,6
Medi-Cal_PV,Provisional - Medi-Cal,California,State,CA,6
Medi-Cal_RE,Recredentialing - Medi-Cal,California,State,CA,6
MHN MediCal,Credentialing - MHN MediCal,California,State,CA,6
MHN MediCal_RE,Recredentialing - MHN MediCal,California,State,CA,6
MHN MediCal_PV,Provisional - MHN MediCal,California,State,CA,6
MHN California,Credentialing - MHN California,California,State,CA,6
MHN California_PV,Provisional - MHN California,California,State,CA,6
MHN California_RE,Recredentialing - MHN California,California,State,CA,6
CA Exchange,Credentialing - CA Exchange,California,State,CA,6
CA Exchange_PV,Provisional - CA Exchange,California,State,CA,6
CA Exchange_RE,Recredentialing - CA Exchange,California,State,CA,6
Colorado,Credentialing - Colorado,Colorado,State,CO,8
Colorado_RE,Recredentialing - Colorado,Colorado,State,CO,8
Colorado_PV,Provisional - Colorado,Colorado,State,CO,8
Connecticut,Credentialing - Connecticut,Connecticut,State,CT,9
Connecticut_RE,Recredentialing - Connecticut,Connecticut,State,CT,9
Connecticut_PV,Provisional - Connecticut,Connecticut,State,CT,9
Delaware,Credentialing - Delaware,Delaware,State,DE,10
Delaware_RE,Recredentialing - Delaware,Delaware,State,DE,10
Delaware_PV,Provisional - Delaware,Delaware,State,DE,10
Sunshine,Credentialing - Sunshine,Florida,State,FL,12
Sunshine_PV,Provisional - Sunshine,Florida,State,FL,12
Sunshine_RE,Recredentialing - Sunshine,Florida,State,FL,12
Cenpatico Sunshine,Credentialing - Cenpatico Sunshine,Florida,State,FL,12
Cenpatico Sunshine_PV,Provisional - Cenpatico Sunshine,Florida,State,FL,12
Cenpatico Sunshine_RE,Recredentialing - Cenpatico Sunshine,Florida,State,FL,12
Peach State,Credentialing - Peach State,Georgia,State,GA,13
Peach State_RE,Recredentialing - Peach State,Georgia,State,GA,13
Peach State_PV,Provisional - Peach State,Georgia,State,GA,13
