"CODE","TYPE","DS","DSL","SEQ_NO","FMG_LOCK","START_DATE","END_DATE","SUB_TYPE","LABEL_CLUSTER_ID"
"5865",INSURANCE_CARRIER,Curi,Curi,1,N,2000-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
INS1,INSURANCE_CARRIER,Insurance Carrier 1,,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1000",INSURANCE_CARRIER,AANA Ins Svcs,AANA Insurance Services,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1001",INSURANCE_CARRIER,AAOM National Ins Co,AAOM National Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1002",INSURANCE_CARRIER,"AAOMS NATIONAL INSURANCE CO., RRG","AAOMS NATIONAL INSURANCE CO., RRG",1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1003",INSURANCE_CARRIER,Aberdeen Ins Co,Aberdeen Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1004",INSURANCE_CARRIER,Ace American Ins Co,Ace American Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1005",INSURANCE_CARRIER,ACE USA,ACE American Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1006",INSURANCE_CARRIER,ACCORD,ACCORD,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1007",INSURANCE_CARRIER,Acordia Of Kentucky,Acordia Of Kentucky,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1008",INSURANCE_CARRIER,"Acordia of Texas, Inc.","Acordia of Texas, Inc.",1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1009",INSURANCE_CARRIER,Admiral Ins Co,Admiral Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1010",INSURANCE_CARRIER,Adventist Health System,Adventist Health System,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1011",INSURANCE_CARRIER,Advocate MD,Advocate MD,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1012",INSURANCE_CARRIER,"AHS Insurance Company, Ltd.","AHS Insurance Company, Ltd.",1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1013",INSURANCE_CARRIER,Ahs/sunbelt,Ahs/sunbelt,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1014",INSURANCE_CARRIER,AIG / National Union,AIG / National Union,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1015",INSURANCE_CARRIER,Allied Prof Ins Co,Allied Professionals Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1016",INSURANCE_CARRIER,Allied Property & Casualty Ins. Co.,Allied Property & Casualty Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1017",INSURANCE_CARRIER,Allstate Insurance Company,Allstate Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1018",INSURANCE_CARRIER,American Alternative Ins Corp/optima Healthcare,American Alternative Ins Corp/optima Healthcare,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1019",INSURANCE_CARRIER,American Association of Nurse Anesthetists,American Association of Nurse Anesthetists,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1020",INSURANCE_CARRIER,American Casualty Co,American Casualty Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1021",INSURANCE_CARRIER,ACC of Reading,American Casualty Company of Reading,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1022",INSURANCE_CARRIER,American Country Ins Co,American Country Insurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1023",INSURANCE_CARRIER,American Home Assurance Company,American Home Assurance Company,1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
"1024",INSURANCE_CARRIER,American International Companies  (AIC),American International Companies  (AIC),1,Y,1800-01-01 00:00:00.000,4000-01-01 00:00:00.000,,1
